0.0137	0.91111	0.0208	1.0667	0.0072	0.75556	0.0085	0.95556	0.0224	0.88889	0.0135	0.84444
0.0237	1.2444	0.0508	1.6	0.0172	1.0889	0.0185	1.2222	0.0524	1.2667	0.0435	1.3333
0.0337	1.5111	0.0808	2.1111	0.0272	1.4	0.0385	1.7333	0.0924	1.6444	0.0735	1.8
0.0637	1.9333	0.1208	2.5778	0.0472	1.7111	0.0585	2.1333	0.1424	2.0889	0.1135	2.3111
0.1037	2.4889	0.1708	3.1333	0.0672	2.0222	0.0885	2.5778	0.2024	2.5333	0.1635	2.8222
0.1437	2.9333	0.2308	3.6	0.0872	2.3556	0.1185	3.0222	0.2624	2.9556	0.2235	3.3333
0.1937	3.4222	0.3508	4.2667	0.1372	3.0222	0.1685	3.6667	0	0	0.3635	4.0667
0.2637	4.0667	0	0	0.1672	3.3778	0.2385	4.4889	0	0	0	0
0.3537	4.7333	0	0	0.2172	3.8889	0.3485	5.4444	0	0	0	0
0.4737	5.4444	0	0	0.2772	4.4444	0.4785	6.3778	0	0	0	0
0	0	0	0	0.3872	5.2	0	0	0	0	0	0
0	0	0	0	0.5272	5.9556	0	0	0	0	0	0
