   0.0000000e+00	   8.0000000e-01	   0.0000000e+00	
   7.8125000e+00	   7.9828821e-01	  -5.4643338e-05	
   1.5625000e+01	   7.9319431e-01	  -1.0901927e-04	
   2.3437500e+01	   7.8480697e-01	  -1.6286678e-04	
   3.1250000e+01	   7.7327018e-01	  -2.1593504e-04	
   3.9062500e+01	   7.5877926e-01	  -2.6798523e-04	
   4.6875000e+01	   7.4157467e-01	  -3.1879487e-04	
   5.4687500e+01	   7.2192905e-01	  -3.6816240e-04	
   6.2500000e+01	   7.0014090e-01	  -4.1590927e-04	
   7.0193769e+01	   6.7689943e-01	  -4.6119558e-04	
   7.7887537e+01	   6.5220019e-01	  -5.0463540e-04	
   8.5581306e+01	   6.2635226e-01	  -5.4612846e-04	
   9.3275074e+01	   5.9965718e-01	  -5.8559795e-04	
   1.0096884e+02	   5.7240508e-01	  -6.2298979e-04	
   1.0866261e+02	   5.4486640e-01	  -6.5827227e-04	
   1.1635638e+02	   5.1728889e-01	  -6.9143296e-04	
   1.2405015e+02	   4.8989558e-01	  -7.2247714e-04	
   1.3160915e+02	   4.6335273e-01	  -7.5093747e-04	
   1.3916815e+02	   4.3733908e-01	  -7.7741059e-04	
   1.4672716e+02	   4.1199102e-01	  -8.0194172e-04	
   1.5428616e+02	   3.8742112e-01	  -8.2458515e-04	
   1.6205674e+02	   3.6306874e-01	  -8.4596042e-04	
   1.6982732e+02	   3.3970679e-01	  -8.6548151e-04	
   1.7759790e+02	   3.1738830e-01	  -8.8322745e-04	
   1.8536848e+02	   2.9614750e-01	  -8.9928049e-04	
   1.9473603e+02	   2.7199711e-01	  -9.1650256e-04	
   2.0410357e+02	   2.4943864e-01	  -9.3153708e-04	
   2.1347112e+02	   2.2845125e-01	  -9.4453194e-04	
   2.2283867e+02	   2.0899466e-01	  -9.5563247e-04	
   2.3289406e+02	   1.8974799e-01	  -9.6560146e-04	
   2.4294945e+02	   1.7211695e-01	  -9.7371699e-04	
   2.5300484e+02	   1.5601061e-01	  -9.8013636e-04	
   2.6306023e+02	   1.4133198e-01	  -9.8500856e-04	
   2.7137450e+02	   1.3020162e-01	  -9.8796818e-04	
   2.7968877e+02	   1.1992273e-01	  -9.9003810e-04	
   2.8800304e+02	   1.1044031e-01	  -9.9128664e-04	
