0.4	0
0.5	1.5536
0.6	1.5022
0.7	1.6878
0.8	1.6822
0.9	1.5165
1	1.4916
1.1	1.3522
1.2	1.2871
1.3	1.349
1.4	1.208
1.5	1.0504
1.6	1.0433
1.7	0.95025
1.8	0.97463
1.9	0.89947
2	0.88881
2.1	0.82206
2.2	0.83019
2.3	0.81793
2.4	0.79343
2.5	0.77017
2.6	0.79433
2.7	0.73513
2.8	0.70147
2.9	0.72576
3	0.69122
3.1	0.64442
3.2	0.64312
3.3	0.60076
3.4	0.62054
3.5	0.62632
3.6	0.61782
3.7	0.53081
3.8	0.55038
3.9	0.53069
4	0.52393
4.1	0.49078
4.2	0.51616
4.3	0.51553
4.4	0.5101
4.5	0.52625
4.6	0.5411
4.7	0.49888
4.8	0.56966
4.9	0.4018
5	0.42819
5.1	0.39776
5.2	0.48501
5.3	0.4018
5.4	0.48456
