181	41	161	48	51	34	91	43	111	40	151	38
191	56	191	72	61	49	101	55	141	57	181	60
201	68	221	95	71	63	121	78	181	74	211	81
231	87	261	116	91	77	141	96	231	94	251	104
271	112	311	141	111	91	171	116	291	114	301	127
311	132	371	162	131	106	201	136	351	133	361	150
361	154	491	192	181	136	251	165	0	0	501	183
431	183	0	0	211	152	321	202	0	0	0	0
521	213	0	0	261	175	431	245	0	0	0	0
641	245	0	0	321	200	561	287	0	0	0	0
0	0	0	0	431	234	0	0	0	0	0	0
0	0	0	0	571	268	0	0	0	0	0	0
