0	2.8029
0.03	2.6394
0.07	2.7434
0.1	2.7361
0.13	2.7677
0.17	2.7465
0.2	2.7632
0.23	2.7252
0.27	2.7247
0.3	2.7838
0.33	2.7261
0.37	2.8516
0.4	2.7904
0.43	2.7554
0.47	2.6848
0.5	2.8526
0.53	2.7495
0.57	2.7779
0.6	2.8013
0.63	2.8043
0.67	2.7942
0.7	2.8284
0.73	2.7613
0.77	2.8495
0.8	2.7698
0.83	2.8251
0.87	2.798
0.9	2.8199
0.93	2.7873
0.97	2.8107
1	2.8972
1.03	2.7328
1.07	2.7765
1.1	2.9071
1.13	2.7845
1.17	2.8384
1.2	2.6897
1.23	2.8502
1.27	2.8074
1.3	2.8268
1.33	2.7817
1.37	2.8074
1.4	2.7072
1.43	2.8081
1.47	2.8081
1.5	2.8504
1.53	2.8183
1.57	2.7344
1.6	2.8625
1.63	2.6522
1.67	2.823
1.7	2.7824
1.73	2.7944
1.77	2.8736
1.8	2.6971
1.83	2.7592
1.87	2.797
1.9	2.7961
1.93	2.7434
1.97	2.8355
2	2.7616
2.03	2.8951
2.07	2.7911
2.1	2.7821
2.13	2.8481
2.17	2.7873
2.2	2.8476
2.23	2.8422
2.27	2.7675
2.3	2.9275
2.33	2.7514
2.37	2.892
2.4	2.7502
2.43	3.0007
2.47	2.7746
2.5	2.8426
2.53	2.8514
2.57	2.8381
2.6	2.9043
2.63	2.8081
2.67	2.858
2.7	2.7909
2.73	2.9017
2.77	2.8284
2.8	2.8492
2.83	2.7828
2.87	2.8126
2.9	2.8698
2.93	2.8511
2.97	2.845
3	2.7526
3.03	2.8511
3.07	2.9208
3.1	2.8103
3.13	2.7781
3.17	2.8871
3.2	2.8233
3.23	2.8242
3.27	2.7793
3.3	2.7741
3.33	2.8859
3.37	2.7661
3.4	2.8596
3.43	2.81
3.47	2.7984
3.5	2.8339
3.53	2.819
3.57	2.7658
3.6	2.9473
3.63	2.7611
3.67	2.7727
3.7	2.8717
3.73	2.7266
3.77	2.8811
3.8	2.7313
3.83	2.9005
3.87	2.706
3.9	2.8495
3.93	2.8469
3.97	2.8211
4	2.6997
4.03	2.828
4.07	2.7446
4.1	2.7637
4.13	2.8107
4.17	2.7543
4.2	2.7292
4.23	2.8086
4.27	2.8053
4.3	2.7202
4.33	2.8542
4.37	2.7436
4.4	2.8025
4.43	2.8689
4.47	2.7368
4.5	2.8573
4.53	2.7895
4.57	2.8391
4.6	2.8552
4.63	2.6789
4.67	2.9206
4.7	2.7401
4.73	2.9076
4.77	2.8658
4.8	2.7585
4.83	2.9631
4.87	2.7956
4.9	2.9504
4.93	2.9076
4.97	2.789
5	2.9525
